id,codigo,ref_prod,desc_prod,qtde
2496,M136090,"CINTA COM CATRACA 40MM X 9,5 M  - GANCHO J","CINTA COM CATRACA 40MM X 9,5 M  - GANCHO J",0.00
2497,25015T,"CINTA PES TUBULAR CMT 15T X 3M","CINTA PES TUBULAR CMT 15T X 3M",0.00
2498,20025T,"CINTA PES TUBULAR CMT25 COM 8M C/1 PROTECAO","CINTA PES TUULAR CMT25 COM 8M C/1 PROTECAO",0.00
2499,CJA790050PR,"CONJUNTO AMARRACAO 50MMX9,50MX0,50- BALDAN","CONJUNTO AMARRACAO 50MMX9,50MX0,50- BALDAN",0.00
2500,CJA951075950050,"CONJUNTO AMARRACAO 75MMX8,5MX0,50M-10T","CONJUNTO AMARRACAO 75MMX8,5MX0,50M-10T",0.00
2501,12432,"CONJUNTO AMARRACAO 50MMX10M  COM GANCHO J","CONJUNTO AMARRACAO 50MMX10M  COM GANCHO J",0.00
2502,Z195823,BL-7/8-8,"CONECTOR BL-7/8-8",0.00
2503,B14750,CL-6-10,"CONECTOR DE ELEVACAO     CL-6-10",4.00
2504,B14751,CL-8-10,"CONECTOR DE ELEVAÃÃO CL-8-10",8.00
2505,B14752,CL-10-10,"CONECTOR DE ELEVAÃÃO CL-10-10",2.00
2506,B14753,CL-13-10,"CONECTOR DE ELEVAÃÃO CL-13-10",1.00
2507,B14754,CL-16-10,"CONECTOR DE ELEVACAO CL-16-10",0.00
2508,Z127840,SKR-7/8-8,"CONECTOR SKR-7/8-8",8.00
2509,Z143143,SKR-10-8,"CONECTOR SKR-10-8",4.00
2510,Z426286,"SKT 7/8-8","CONECTOR (MEIO ELO) SKT 7/8-8",0.00
2511,Z426480,"SKT 13-8","CONECTOR (MEIO ELO) SKT 13-8",2.00
2512,Z426587,"SKT 16-8","CONECTOR (MEIO ELO) SKT 16-8",0.00
2513,Z802306,"KLA -6-10 (400)","CORRENTE KLA -6-8+(400)",12.84
